region_code,display_name
4794000000,경상북도 울릉군
4793000000,경상북도 울진군
4773000000,경상북도 의성군
4782000000,경상북도 청도군
4775000000,경상북도 청송군
4785000000,경상북도 칠곡군
4711000000,경상북도 포항시
1233000000,광주광역시 광산구
1227000000,광주광역시 남구
1221000000,광주광역시 동구
1230000000,광주광역시 북구
1224000000,광주광역시 서구
2772000000,대구광역시 군위군
2720000000,대구광역시 남구
2729000000,대구광역시 달서구
2771000000,대구광역시 달성군
2714000000,대구광역시 동구
2723000000,대구광역시 북구
2717000000,대구광역시 서구
2726000000,대구광역시 수성구
2711000000,대구광역시 중구
3023000000,대전광역시 대덕구
3011000000,대전광역시 동구
3017000000,대전광역시 서구
3020000000,대전광역시 유성구
3014000000,대전광역시 중구
2644000000,부산광역시 강서구
2641000000,부산광역시 금정구
2671000000,부산광역시 기장군
2629000000,부산광역시 남구
2617000000,부산광역시 동구
2626000000,부산광역시 동래구
2623000000,부산광역시 부산진구
2632000000,부산광역시 북구
2653000000,부산광역시 사상구
2638000000,부산광역시 사하구
2614000000,부산광역시 서구
2650000000,부산광역시 수영구
2647000000,부산광역시 연제구
2620000000,부산광역시 영도구
2611000000,부산광역시 중구
2635000000,부산광역시 해운대구
1168000000,서울특별시 강남구
1174000000,서울특별시 강동구
1130500000,서울특별시 강북구
1150000000,서울특별시 강서구
1162000000,서울특별시 관악구
1121500000,서울특별시 광진구
1153000000,서울특별시 구로구
1154500000,서울특별시 금천구
1135000000,서울특별시 노원구
1132000000,서울특별시 도봉구
1123000000,서울특별시 동대문구
1159000000,서울특별시 동작구
1144000000,서울특별시 마포구
1141000000,서울특별시 서대문구
1165000000,서울특별시 서초구
1120000000,서울특별시 성동구
1129000000,서울특별시 성북구
1171000000,서울특별시 송파구
1147000000,서울특별시 양천구
1156000000,서울특별시 영등포구
1117000000,서울특별시 용산구
1138000000,서울특별시 은평구
1111000000,서울특별시 종로구
1114000000,서울특별시 중구
1126000000,서울특별시 중랑구
3611000000,세종특별자치시 세종시
3114000000,울산광역시 남구
3117000000,울산광역시 동구
3120000000,울산광역시 북구
3171000000,울산광역시 울주군
3111000000,울산광역시 중구
2871000000,인천광역시 강화군
2829000000,인천광역시 검단구
2824500000,인천광역시 계양구
2820000000,인천광역시 남동구
2817700000,인천광역시 미추홀구
2823700000,인천광역시 부평구
2827500000,인천광역시 서해구
2818500000,인천광역시 연수구
2815500000,인천광역시 영종구
2872000000,인천광역시 옹진군
2812500000,인천광역시 제물포구
9999000001,인천광역시 중구
1278000000,전라남도 강진군
1274000000,전라남도 고흥군
1272000000,전라남도 곡성군
1219000000,전라남도 광양시
1273000000,전라남도 구례군
1217000000,전라남도 나주시
1271000000,전라남도 담양군
1211000000,전라남도 목포시
1281000000,전라남도 무안군
1275000000,전라남도 보성군
1215000000,전라남도 순천시
1287000000,전라남도 신안군
1213000000,전라남도 여수시
1283000000,전라남도 영광군
1280000000,전라남도 영암군
1285000000,전라남도 완도군
1284000000,전라남도 장성군
1277000000,전라남도 장흥군
1286000000,전라남도 진도군
1282000000,전라남도 함평군
1279000000,전라남도 해남군
1276000000,전라남도 화순군
5279000000,전북특별자치도 고창군
5213000000,전북특별자치도 군산시
5221000000,전북특별자치도 김제시
5219000000,전북특별자치도 남원시
5273000000,전북특별자치도 무주군
5280000000,전북특별자치도 부안군
5277000000,전북특별자치도 순창군
5271000000,전북특별자치도 완주군
5214000000,전북특별자치도 익산시
5275000000,전북특별자치도 임실군
5274000000,전북특별자치도 장수군
5211000000,전북특별자치도 전주시
5218000000,전북특별자치도 정읍시
5272000000,전북특별자치도 진안군
5013000000,제주특별자치도 서귀포시
5011000000,제주특별자치도 제주시
4425000000,충청남도 계룡시
4415000000,충청남도 공주시
4471000000,충청남도 금산군
4423000000,충청남도 논산시
4427000000,충청남도 당진시
4418000000,충청남도 보령시
4476000000,충청남도 부여군
4421000000,충청남도 서산시
4477000000,충청남도 서천군
4420000000,충청남도 아산시
4481000000,충청남도 예산군
4413000000,충청남도 천안시
4479000000,충청남도 청양군
4482500000,충청남도 태안군
4480000000,충청남도 홍성군
4376000000,충청북도 괴산군
4380000000,충청북도 단양군
4372000000,충청북도 보은군
4374000000,충청북도 영동군
4373000000,충청북도 옥천군
4377000000,충청북도 음성군
4315000000,충청북도 제천시
4374500000,충청북도 증평군
4375000000,충청북도 진천군
4311000000,충청북도 청주시
4313000000,충청북도 충주시
